,Stock,VaR95,ES95,VaR95_Pct,ES95_Pct
0,GS,430.21170045468097,549.6142246123911,0.02523194227741515,0.032234907548096756
1,BKNG,11751.486324940892,14930.059449535109,0.02929137295777403,0.03721418104277724
2,MS,308.11192521054784,386.1228349329244,0.027606467737368013,0.034596153907229345
3,MDT,209.0173045649952,261.16329139086633,0.02528085579818351,0.03158796599722875
4,SBUX,437.8559380914332,535.1125250546116,0.027333059793663208,0.03340428065772067
5,ELV,1506.7893500583166,1876.8004898275876,0.026747138167972792,0.03331523547946146
6,PLD,532.547181050912,657.4284385578435,0.029736304562731457,0.03670940899279321
7,RTX,350.408484444238,435.9103718404052,0.02536445866964004,0.031553547077347865
8,DE,627.9875311816229,797.7834277838524,0.027946166934744946,0.035502279493782735
9,TJX,292.0507637152419,372.8031959038317,0.019382132686993143,0.02474131865715118
10,ISRG,650.103865700471,826.8906171891853,0.0331726251495902,0.04219346158505738
11,ADP,859.0792471241308,1068.3631425191934,0.02315624239273908,0.028797431639118902
12,MMC,323.3468730695557,407.128225101708,0.019688852923055573,0.02479036728809769
13,MDLZ,164.4931240713082,207.27160894583346,0.017828662542019216,0.022465228205129605
14,SYK,1381.4731055135112,1738.8369639706489,0.025621780483298093,0.03224970418120438
15,BLK,1641.040546630286,2070.9940022338255,0.029952391410126792,0.03779993315235721
16,GILD,320.3360873246184,401.76815237653,0.024403304609553908,0.03060682512153741
17,LMT,690.112976716334,881.8400435223305,0.02085437527881162,0.026648134180872564
18,CVS,219.60540802904765,277.45472789688387,0.027314274573352025,0.03450950815586353
19,VRTX,1587.1664491560055,1998.9791906214323,0.02565457074151495,0.032311011289259645
20,AXP,512.6919481043298,637.9921702599967,0.03017276142522056,0.037546884860568
21,REGN,4498.565510681928,5720.72008371334,0.031525226706623465,0.04008989024078002
22,CB,893.8601480778889,1129.6312010245124,0.022078688994694038,0.027902324563584446
23,ADI,742.1841484093721,930.364367926541,0.030648199940501848,0.038419027443312596
24,CI,1151.4793873734338,1453.2861620153576,0.025020759658573664,0.031578788273284676
25,ETN,518.5921927046768,665.5946025300682,0.025402059182413932,0.03260263791628731
26,SLB,392.3835294454655,500.27260875527696,0.03841654553779579,0.04897949076180596
27,PGR,750.5584503487576,949.8394156638726,0.03010997112172998,0.03810447722310082
28,SCHW,364.5697508179909,459.3057714733284,0.04183868363576516,0.052710760620256376
29,LRCX,5246.772139091152,6759.066797439467,0.04368402685640752,0.05627521982586873
30,ZTS,646.9831827022138,804.8916819296707,0.03026357631836906,0.03764997529357833
31,C,95.56012473706728,122.89309446863588,0.028136042530135307,0.03618376746727122
32,BSX,197.00629398767904,253.48729169483482,0.019550482428812764,0.025155535601908963
33,AMT,351.5519820083383,441.04938975546554,0.031104517601987205,0.039023044127423544
34,Total,26260.8277588113,33711.835056962234,0.01892795718673763,0.024298402796173908
