,Stock,VaR95,ES95,VaR95_Pct,ES95_Pct
0,CMCSA,59.8772828970686,90.53210048996273,0.025419122184947764,0.03843271459011033
1,PFE,69.70299309472973,96.93207449846378,0.02369157922129495,0.032946561117451575
2,LIN,761.1521523790153,1184.431845899148,0.02148311479281869,0.033429959082676375
3,ORCL,310.0619676876178,476.97958704921905,0.025166571068889892,0.03871465038233161
4,ABT,247.37748379170097,345.4714090678217,0.023122956226978603,0.032292026530087344
5,NFLX,1080.5125694043259,1719.351499599407,0.04445119661368838,0.07073238546300914
6,DHR,488.63491867739555,709.6890216442351,0.02732454092428357,0.03968592086689475
7,AMD,376.5882373116736,545.18237754489,0.05018767645604642,0.07265611100623967
8,WFC,196.9212302587136,279.6917796687302,0.029665613180222688,0.04213475679813592
9,DIS,469.5257121322637,686.6334668321198,0.03283396588337509,0.04801632635189649
10,PM,171.2326682531262,239.9548794911514,0.01821998221476603,0.02553235712131867
11,TXN,823.5196267517277,1088.9332659029126,0.028539137262727672,0.03773706774680504
12,INTC,114.75788487742761,154.96892496158887,0.040944599208432984,0.05529154296535875
13,AMGN,371.6411968853278,589.0324034765741,0.023137914346035952,0.036672417947480586
14,COP,453.943043679557,655.4615882072399,0.034013618277455276,0.04911325455303957
15,INTU,1287.706197700784,1807.9056469103493,0.037235494794998686,0.052277655745989776
16,VZ,147.41820828786757,215.72810740782842,0.02214816897798999,0.032411074803191615
17,CAT,1001.2727246624468,1450.3742938185696,0.028425269625728007,0.0411748760797578
18,NEE,119.08895374513176,172.38200594307523,0.025493750994870425,0.03690236413458022
19,IBM,183.33159307082113,267.54309792300336,0.018351730759443595,0.02678141185264081
20,UNP,284.2808579632313,426.3425278157377,0.02563462839188499,0.03844484059361778
21,HON,658.694223113954,927.8181749349965,0.02116360106904222,0.029810453818924828
22,BMY,189.04011297951493,258.0061065859486,0.019690242019904384,0.02687367565126817
23,LOW,910.2402539384151,1342.7817743287706,0.02789927135658823,0.041156862633339474
24,GE,187.00140420715337,266.95045673964506,0.02546835603774646,0.036356888898828064
25,SPGI,1112.4887544323174,1576.9664933806532,0.025364875970685583,0.035955023684655835
26,QCOM,807.6778530926922,1115.3686466292972,0.038663520640227066,0.05339267199823155
27,AMAT,289.4504984976301,398.2930076921963,0.03936398983146626,0.05416609052710992
28,BA,1046.3732508385438,1675.750684824983,0.03131635970894225,0.05015266893188475
29,UPS,759.7961164120458,1090.7121092733341,0.026141795410087147,0.0375274000432836
30,NKE,406.77858502640345,612.137751009896,0.03175514108138294,0.047786489653328185
31,NOW,1417.0979526500787,2048.607737738801,0.03761063141146531,0.05437128067730369
32,T,44.20504472886605,68.5636837966211,0.025645737450609194,0.039777501506440355
33,Total,11806.456259065379,16053.882744854647,0.02054932090866814,0.02794203282639049
