,Stock,VaR95,ES95,VaR95_Pct,ES95_Pct
0,AAPL,773.6886143500441,1156.7802164338768,0.028015124309561042,0.04188680169406469
1,MSFT,1783.5736568460472,2527.4956758744197,0.0316080767413439,0.044791689415128726
2,AMZN,566.4872049323632,810.8464342567232,0.03988447862938116,0.05708899865211168
3,NVDA,1100.4225685923998,1657.890275621041,0.04897427402265903,0.07378435791409245
4,GOOGL,296.79816054043505,436.69966815015835,0.033024357900407246,0.048591022632079706
5,TSLA,915.386393877385,1248.8696978637367,0.06230169710244989,0.08499875261108236
6,GOOG,729.306298350684,1066.5204777290191,0.033273170155719824,0.0486579060269869
7,BRK-B,1172.2558276374284,1727.0786687840707,0.017593619271587254,0.02592059159296818
8,META,1076.9266139948425,1786.9208272848928,0.04286664265673526,0.07112768461999036
9,UNH,668.5499989728925,1034.3851519432494,0.021655475042092653,0.03350549977747664
10,XOM,212.61586241142794,280.41943938027975,0.027202921564170385,0.035877981670855666
11,LLY,2543.0239514229665,4125.043265860565,0.023211783597795667,0.037651871727406416
12,JPM,519.6411572232797,806.2292240202082,0.02330575397004673,0.03615914497396721
13,JNJ,204.11573248391622,308.0101314782107,0.01630447579550413,0.024603413329995265
14,V,270.1425387290771,394.973218043507,0.020520562637549988,0.03000294844028604
15,PG,178.2606116225,249.45484437800002,0.016109817617033603,0.02254380263838299
16,MA,1433.4272163150636,2070.6929832863157,0.021598721229769843,0.031200970645314796
17,AVGO,3830.5722912516767,5504.707174632799,0.03276786174256479,0.04708891254803389
18,HD,1315.794340366785,1856.263258017851,0.02502196977697334,0.03529986542371148
19,CVX,575.7014886530961,825.4799141413637,0.02490821117000091,0.03571508572286671
20,MRK,120.99154269469676,169.28059221029963,0.01961690012611104,0.02744621976643275
21,ABBV,207.91201874082907,304.50673722569945,0.020017870808404996,0.029318057527359054
22,COST,2178.864266884874,3404.615813676635,0.0213150280861083,0.033306104833541864
23,PEP,497.8601393199318,701.9959786009637,0.016709014594551663,0.02356015299353467
24,ADBE,2859.119720990189,4194.361128807045,0.03619752701349506,0.053102183567103466
25,WMT,199.1479285125617,285.21052903653435,0.0155273160543609,0.02223750987247856
26,KO,70.16872029461923,98.33460253481574,0.015420341669091337,0.021610101518374603
27,CSCO,188.75157939209373,272.9666247481953,0.020605010375242074,0.02979832091019296
28,CRM,891.3294875431657,1275.810148444968,0.03399865649174212,0.04866419387203138
29,MCD,269.5634554872189,386.3310815132953,0.01571811399608963,0.022526777483554288
30,ACN,475.98981951996865,671.8990156670153,0.025963241893319385,0.03664926424106865
31,BAC,56.00349097581941,79.7506907258632,0.02894536541347684,0.041219089110605456
32,TMO,1212.050579278509,1664.5983282123161,0.025645209466975592,0.03522045493414431
33,Total,20176.498544774575,27729.972354744263,0.01852216949199203,0.02545631229437709
